Year (year),State Name (state_name),District Name (district_name),Block Name (block_name),Gram Panchayat Name (gp_name),Number of applied job cards (applied_jobcards),Number of issued job cards (issued_jobcards),Number of registered workers from Scheduled Castes (registered_workers_scs),Number of registered workers from Scheduled Tribes (registered_workers_sts),Number of registered workers from other categories (registered_workers_others),Total number of registered workers (total_registered_workers),Number of registered female workers (registered_workers_women),Number of active job cards (active_jobcards),Number of active workers from Scheduled Castes (active_workers_scs),Number of active workers from Scheduled Tribes (active_workers_sts),Number of active workers from other categories (active_workers_others),Total number of active workers (total_active_workers),Number of active female workers (active_workers_women)
"2019-2020","Odisha","Kendujhar","Anandapur","Galaymunda","1916.0","1916.0","34.0","1218.0","691.0","1943.0","912.0","1013.0","19.0","795.0","466.0","1280.0","576.0"
"2022-2023","Punjab","Jalandhar","Bhogpur","Kotla","94.0","94.0","134.0","0.0","8.0","142.0","74.0","62.0","71.0","0.0","3.0","74.0","42.0"
"2020-2021","Andhra Pradesh","Anantapur","Kudair","Jallipalli","693.0","693.0","117.0","17.0","807.0","941.0","459.0","373.0","90.0","11.0","576.0","677.0","326.0"
"2014-2015","Kerala","Palakkad","Kuzhalmannam","Kuzhalmannam","2586.0","2586.0","1774.0","0.0","2993.0","4767.0","3886.0","2070.0","1019.0","0.0","1690.0","2709.0","2472.0"
"2015-2016","Assam","Dhubri","Nayeralga","Dubachuri","1765.0","1678.0","0.0","0.0","7043.0","7043.0","3046.0","729.0","0.0","0.0","3966.0","3966.0","1824.0"
"2022-2023","Uttar Pradesh","Kaushambi","Sirathu","Madhawa Maie","240.0","235.0","142.0","0.0","363.0","505.0","228.0","156.0","87.0","0.0","215.0","302.0","128.0"
"2021-2022","Tamil Nadu","Perambalur","Veppur","Aduthurai","462.0","462.0","19.0","0.0","529.0","548.0","454.0","404.0","14.0","0.0","432.0","446.0","393.0"
"2016-2017","Uttar Pradesh","Azamgarh","Mahrajganj","Mureelpur","147.0","146.0","120.0","0.0","189.0","309.0","148.0","94.0","100.0","0.0","159.0","259.0","130.0"
"2023-2024","Jammu And Kashmir","Shopian","Imamsahib","Sugoo","361.0","361.0","0.0","1.0","402.0","403.0","32.0","313.0","0.0","1.0","333.0","334.0","25.0"
"2019-2020","Uttarakhand","Rudra Prayag","Augustyamuni","Paboo","94.0","94.0","27.0","0.0","130.0","157.0","96.0","86.0","22.0","0.0","112.0","134.0","85.0"
"2015-2016","Bihar","Gaya","Tekari","Amakuwan","1884.0","1826.0","1473.0","1.0","1579.0","3053.0","1273.0","559.0","274.0","0.0","393.0","667.0","348.0"
"2014-2015","Bihar","Darbhanga","Darbhanga","Chhotapatti","1493.0","1402.0","1110.0","0.0","2296.0","3406.0","1631.0","252.0","256.0","0.0","962.0","1218.0","696.0"
"2020-2021","Telangana","Mahabubnagar","Nawabpet","Deepalle","210.0","210.0","106.0","1.0","283.0","390.0","194.0","125.0","45.0","0.0","102.0","147.0","88.0"
"2016-2017","Uttar Pradesh","Kashganj","Soron","Basant Nagar","261.0","255.0","120.0","0.0","602.0","722.0","237.0","125.0","83.0","0.0","399.0","482.0","163.0"
"2015-2016","Nagaland","Tuensang","Noksen","Yokumsang","75.0","75.0","0.0","153.0","0.0","153.0","70.0","75.0","0.0","103.0","0.0","103.0","44.0"
"2023-2024","Chhattisgarh","Bemetara","Bemetara","Umariya","388.0","382.0","12.0","6.0","738.0","756.0","359.0","333.0","5.0","6.0","506.0","517.0","252.0"
"2019-2020","Andhra Pradesh","Prakasam","Santhamaguluru","Puttavaripalem","348.0","348.0","31.0","10.0","619.0","660.0","353.0","262.0","19.0","6.0","555.0","580.0","312.0"
"2019-2020","Maharashtra","Yavatmal","Ralegaon","Savarkheda","239.0","232.0","0.0","48.0","702.0","750.0","300.0","109.0","0.0","12.0","200.0","212.0","67.0"
"2016-2017","Madhya Pradesh","Tikamgarh","Baldeogarh","Sujanpura Khas","317.0","316.0","145.0","69.0","576.0","790.0","335.0","182.0","129.0","40.0","486.0","655.0","273.0"
"2016-2017","Andhra Pradesh","Srikakulam","Ichchapuram","Tulasigam","754.0","754.0","18.0","1.0","861.0","880.0","820.0","579.0","16.0","1.0","761.0","778.0","741.0"
"2015-2016","Meghalaya","East Khasi Hills","Mawphlang","Krang Nongrum Centre","88.0","88.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2020-2021","Telangana","Nalgonda","Devarakonda","Kacharam","181.0","181.0","130.0","22.0","259.0","411.0","220.0","166.0","83.0","15.0","192.0","290.0","173.0"
"2019-2020","Odisha","Mayurbhanj","Jamda","Talagaon","1461.0","1431.0","279.0","1014.0","431.0","1724.0","872.0","1015.0","201.0","717.0","282.0","1200.0","597.0"
"2021-2022","Telangana","Nagarkurnool","Pentlavelli","Manchalakatta","253.0","253.0","70.0","0.0","361.0","431.0","214.0","208.0","55.0","0.0","271.0","326.0","165.0"
"2018-2019","Uttar Pradesh","Ayodhya","Masodha","Sofiya Para","316.0","316.0","125.0","0.0","76.0","201.0","85.0","97.0","71.0","0.0","42.0","113.0","61.0"
"2022-2023","Gujarat","Amreli","Babra                                             ","Pir Khijadiya","101.0","92.0","6.0","0.0","240.0","246.0","115.0","78.0","3.0","0.0","182.0","185.0","89.0"
"2015-2016","Uttar Pradesh","Kheri","Nakaha","Siraicha","571.0","568.0","187.0","0.0","457.0","644.0","167.0","214.0","137.0","0.0","283.0","420.0","90.0"
"2023-2024","Madhya Pradesh","Dhar","Sardarpur","Tandakheda","480.0","469.0","13.0","857.0","170.0","1040.0","508.0","443.0","12.0","751.0","145.0","908.0","451.0"
"2018-2019","Maharashtra","Sangli","Shirala","Daswadi","48.0","44.0","0.0","0.0","122.0","122.0","62.0","4.0","0.0","0.0","10.0","10.0","3.0"
"2014-2015","Chhattisgarh","Kondagaon","Keshkal","Bedma","294.0","294.0","58.0","582.0","128.0","768.0","398.0","199.0","50.0","466.0","95.0","611.0","327.0"
"2021-2022","Madhya Pradesh","Narmadapuram","Hoshangabad","Gurra","101.0","101.0","13.0","12.0","117.0","142.0","36.0","40.0","5.0","7.0","64.0","76.0","28.0"
"2021-2022","Uttar Pradesh","Amroha","Hasanpur","Allipur Khadar","445.0","420.0","205.0","15.0","869.0","1089.0","343.0","311.0","161.0","10.0","717.0","888.0","253.0"
"2023-2024","Uttar Pradesh","Sitapur","Parsendi","Sonari","468.0","468.0","408.0","36.0","276.0","720.0","176.0","301.0","231.0","21.0","144.0","396.0","101.0"
"2015-2016","Uttar Pradesh","Varanasi","Harahua","Lamhi","91.0","89.0","10.0","0.0","93.0","103.0","42.0","41.0","0.0","0.0","5.0","5.0","2.0"
"2022-2023","Himachal Pradesh","Shimla","Rohru","Shekhal","444.0","429.0","367.0","0.0","444.0","811.0","345.0","286.0","258.0","0.0","244.0","502.0","236.0"
"2017-2018","Punjab","Nawanshahr ","Balachaur","Garle Dhaha","65.0","65.0","97.0","0.0","21.0","118.0","61.0","33.0","66.0","0.0","7.0","73.0","48.0"
"2022-2023","Gujarat","Amreli","Khambha                                           ","Talda","114.0","114.0","81.0","0.0","263.0","344.0","169.0","32.0","0.0","0.0","77.0","77.0","28.0"
"2021-2022","Madhya Pradesh","Ujjain","Ghatiya","Chhitardevi","105.0","105.0","100.0","17.0","95.0","212.0","86.0","90.0","84.0","10.0","78.0","172.0","68.0"
"2016-2017","Tamil Nadu","Vellore","Pernambet","Balur","560.0","555.0","588.0","0.0","504.0","1092.0","592.0","230.0","82.0","0.0","116.0","198.0","174.0"
"2022-2023","Jammu And Kashmir","Doda","Marmat","Prable","458.0","457.0","219.0","4.0","1568.0","1791.0","851.0","448.0","205.0","4.0","1519.0","1728.0","822.0"
"2023-2024","Madhya Pradesh","Sehore","Ashta","Sendhokhedi","144.0","144.0","122.0","42.0","413.0","577.0","237.0","106.0","80.0","15.0","187.0","282.0","99.0"
"2017-2018","Ladakh","Kargil","Kargil","Badgam","0.0","0.0","0.0","266.0","0.0","266.0","207.0","0.0","0.0","224.0","0.0","224.0","168.0"
"2019-2020","Uttar Pradesh","Kaushambi","Manjhanpur","Tensaha Alambad","956.0","905.0","661.0","4.0","1259.0","1924.0","829.0","450.0","267.0","0.0","423.0","690.0","308.0"
"2016-2017","Uttar Pradesh","Sitapur","Misrikh","Dhalliya","347.0","346.0","601.0","0.0","799.0","1400.0","406.0","190.0","83.0","0.0","279.0","362.0","117.0"
"2022-2023","Andhra Pradesh","Nellore","Kodavalur","Ramannapalem","257.0","257.0","208.0","28.0","139.0","375.0","195.0","175.0","144.0","9.0","84.0","237.0","123.0"
"2017-2018","Madhya Pradesh","Dhar","Gandhwani","Khedli Hanuman","304.0","302.0","0.0","548.0","3.0","551.0","136.0","248.0","0.0","400.0","3.0","403.0","117.0"
"2020-2021","Uttar Pradesh","Gonda","Pandri Kripal","Sonbarsa","811.0","630.0","148.0","0.0","494.0","642.0","233.0","354.0","64.0","0.0","143.0","207.0","85.0"
"2020-2021","Uttar Pradesh","Rae Bareli","Salon","Daraswan","494.0","442.0","322.0","0.0","423.0","745.0","321.0","185.0","161.0","0.0","155.0","316.0","153.0"
"2015-2016","Andhra Pradesh","West Godavari","T Narasapuram","Tirumaladevipeta","1904.0","1904.0","1194.0","170.0","1544.0","2908.0","1478.0","893.0","1013.0","133.0","1165.0","2311.0","1212.0"
"2023-2024","Uttar Pradesh","Kushi Nagar","Hata","Naika Chhapara","359.0","359.0","212.0","1.0","225.0","438.0","68.0","98.0","57.0","1.0","46.0","104.0","20.0"
"2023-2024","Chhattisgarh","Kawardha","Kawardha","Bamhani","529.0","529.0","237.0","43.0","1120.0","1400.0","661.0","518.0","230.0","42.0","1070.0","1342.0","636.0"
"2021-2022","Uttar Pradesh","Shahjahanpur","Mirzapur","Paharpur Pipariya","427.0","427.0","26.0","0.0","422.0","448.0","141.0","236.0","20.0","0.0","320.0","340.0","102.0"
"2023-2024","Punjab","Tarn Taran","Patti-14","Tung","156.0","156.0","176.0","0.0","60.0","236.0","87.0","47.0","45.0","0.0","5.0","50.0","25.0"
"2020-2021","Uttar Pradesh","Lucknow","Gosaiganj","Kasimpur","355.0","353.0","281.0","0.0","102.0","383.0","134.0","141.0","157.0","0.0","55.0","212.0","83.0"
"2022-2023","Uttar Pradesh","Bijnor","Jalilpur","Asalatpur Urf Tohfapur","144.0","140.0","32.0","0.0","152.0","184.0","56.0","107.0","30.0","0.0","88.0","118.0","34.0"
"2018-2019","Uttar Pradesh","Azamgarh","Azmatgarh","Allipur","332.0","324.0","73.0","0.0","255.0","328.0","118.0","162.0","49.0","0.0","215.0","264.0","96.0"
"2020-2021","Chhattisgarh","Mahasamund","Bagbahara","Komakhan","412.0","309.0","62.0","81.0","735.0","878.0","423.0","215.0","22.0","33.0","199.0","254.0","133.0"
"2020-2021","Jharkhand","East Singhbum","Patamda","Lava","1456.0","1455.0","37.0","1930.0","927.0","2894.0","1384.0","720.0","12.0","543.0","381.0","936.0","456.0"
"2020-2021","Manipur","Kangpokpi","Saikul","Haibung","25.0","25.0","0.0","57.0","0.0","57.0","28.0","25.0","0.0","30.0","0.0","30.0","17.0"
"2019-2020","Haryana","Ambala","Saha","Upalana","91.0","91.0","65.0","0.0","63.0","128.0","26.0","52.0","50.0","0.0","26.0","76.0","23.0"
"2014-2015","Tamil Nadu","Tiruvallur","Ellapuram","Tholavedu","306.0","305.0","505.0","3.0","265.0","773.0","476.0","305.0","243.0","2.0","140.0","385.0","313.0"
"2020-2021","Maharashtra","Thane","Kalyan","Goveli","249.0","249.0","32.0","92.0","514.0","638.0","307.0","55.0","1.0","5.0","33.0","39.0","20.0"
"2015-2016","Maharashtra","Beed","Wadwani","Sangam","106.0","102.0","0.0","0.0","629.0","629.0","302.0","0.0","0.0","0.0","47.0","47.0","22.0"
"2017-2018","Haryana","Karnal","Indri","Garhi Gujran","118.0","118.0","95.0","0.0","212.0","307.0","139.0","86.0","46.0","0.0","79.0","125.0","68.0"
"2021-2022","Madhya Pradesh","Chhindwara","Chhindwara","Thaonri Theka","336.0","331.0","98.0","150.0","416.0","664.0","277.0","257.0","71.0","116.0","255.0","442.0","197.0"
"2015-2016","Gujarat","Tapi","Nizar","Khodada","960.0","960.0","2.0","2322.0","198.0","2522.0","1185.0","611.0","0.0","554.0","46.0","600.0","303.0"
"2017-2018","Andhra Pradesh","Guntur","Durgi","Kancharagunta","787.0","787.0","462.0","228.0","476.0","1166.0","599.0","630.0","434.0","220.0","448.0","1102.0","569.0"
"2016-2017","Meghalaya","South Garo Hills","Gasuapara","Seempara A","174.0","174.0","0.0","742.0","18.0","760.0","385.0","97.0","0.0","351.0","8.0","359.0","126.0"
"2023-2024","Andhra Pradesh","Srikakulam","Vajrapukothuru","Dokulapadu","411.0","411.0","4.0","0.0","554.0","558.0","351.0","369.0","4.0","0.0","479.0","483.0","299.0"
"2017-2018","Madhya Pradesh","Satna","Unchahara","Ichaul","368.0","352.0","174.0","100.0","401.0","675.0","250.0","256.0","155.0","91.0","349.0","595.0","217.0"
"2021-2022","Uttar Pradesh","Sitapur","Behta","Akbarpur","782.0","715.0","133.0","0.0","571.0","704.0","288.0","493.0","108.0","0.0","359.0","467.0","200.0"
"2021-2022","Madhya Pradesh","Khargone","Kasrawad","Jalkha","581.0","566.0","279.0","230.0","621.0","1130.0","521.0","479.0","186.0","179.0","534.0","899.0","417.0"
"2021-2022","Maharashtra","Akola","Balapur","Ridhora","1205.0","840.0","198.0","6.0","1862.0","2066.0","850.0","239.0","33.0","1.0","236.0","270.0","108.0"
"2020-2021","Chhattisgarh","Gaurela Pendra Marwahi","Gaurella-1","Jamdi Khurd","411.0","402.0","0.0","0.0","0.0","0.0","0.0","311.0","0.0","0.0","0.0","0.0","0.0"
"2019-2020","Punjab","Ludhiana","Doraha","Katana","42.0","42.0","46.0","0.0","8.0","54.0","36.0","28.0","28.0","0.0","4.0","32.0","24.0"
"2017-2018","Madhya Pradesh","Balaghat","Lanji","Pausera","457.0","455.0","11.0","10.0","1073.0","1094.0","507.0","406.0","8.0","8.0","937.0","953.0","442.0"
"2019-2020","Uttar Pradesh","Azamgarh","Azmatgarh","Salhepur","349.0","341.0","91.0","0.0","319.0","410.0","222.0","226.0","75.0","0.0","250.0","325.0","180.0"
"2015-2016","Tamil Nadu","Thoothukkudi","Ottapidaram","Therkku Kalmedu","442.0","442.0","98.0","0.0","329.0","427.0","327.0","450.0","90.0","0.0","297.0","387.0","312.0"
"2015-2016","Maharashtra","Beed","Bid","Bahirawadi","375.0","248.0","0.0","0.0","19.0","19.0","9.0","1.0","0.0","0.0","0.0","0.0","0.0"
"2014-2015","Jharkhand","Ranchi","Ormanjhi","Ormanjhi","659.0","637.0","49.0","201.0","431.0","681.0","343.0","155.0","10.0","84.0","209.0","303.0","171.0"
"2015-2016","Tamil Nadu","Cuddalore","Melbhuvanagiri","Prasannaramapuram","193.0","187.0","0.0","0.0","318.0","318.0","175.0","183.0","0.0","0.0","194.0","194.0","123.0"
"2017-2018","Uttar Pradesh","Mirzapur","Majhawa","Byaspur","256.0","252.0","50.0","2.0","322.0","374.0","111.0","99.0","27.0","1.0","162.0","190.0","49.0"
"2016-2017","Telangana","Sangareddy","Jharasangam","Kuppanagar","782.0","782.0","652.0","7.0","1336.0","1995.0","960.0","288.0","274.0","0.0","287.0","561.0","306.0"
"2022-2023","Tamil Nadu","Vellore","Anaicut","Vannanthangal","865.0","865.0","210.0","29.0","1083.0","1322.0","859.0","770.0","173.0","23.0","931.0","1127.0","756.0"
"2016-2017","Maharashtra","Thane","Murbad","Sayale","171.0","167.0","48.0","81.0","380.0","509.0","221.0","55.0","9.0","1.0","35.0","45.0","27.0"
"2017-2018","Uttar Pradesh","Sultanpur","Akhand Nagar","Patar Khas","138.0","125.0","108.0","2.0","412.0","522.0","223.0","56.0","51.0","1.0","269.0","321.0","132.0"
"2019-2020","Haryana","Ambala","Ambala-I","Batrohan","115.0","115.0","118.0","0.0","121.0","239.0","138.0","24.0","48.0","0.0","40.0","88.0","65.0"
"2020-2021","Uttar Pradesh","Muzaffarnagar","Morna","Bhedaheri","220.0","180.0","169.0","0.0","144.0","313.0","123.0","66.0","61.0","0.0","43.0","104.0","38.0"
"2019-2020","Gujarat","Mahesana","Unjha","Varvada","50.0","50.0","4.0","0.0","114.0","118.0","48.0","33.0","2.0","0.0","26.0","28.0","11.0"
"2019-2020","Chhattisgarh","Janjgir-Champa","Nawagarh","Kuriyari","507.0","507.0","160.0","26.0","1076.0","1262.0","564.0","388.0","133.0","22.0","942.0","1097.0","495.0"
"2014-2015","Maharashtra","Jalgaon","Bodwad","Nandgaon","467.0","467.0","339.0","120.0","867.0","1326.0","607.0","103.0","95.0","20.0","288.0","403.0","169.0"
"2017-2018","Punjab","Hoshiarpur","Hoshiarpur-I","Allowal","29.0","29.0","67.0","0.0","23.0","90.0","43.0","20.0","25.0","0.0","18.0","43.0","23.0"
"2015-2016","Uttar Pradesh","Sambhal","Gunnaur","Bandari Kamalgarh","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2015-2016","Andhra Pradesh","Nellore","Dakkili","Chapalapalli","315.0","315.0","254.0","64.0","276.0","594.0","306.0","223.0","214.0","49.0","226.0","489.0","256.0"
"2017-2018","Rajasthan","Barmer","Gudamalani","रामजी का गोल फांटा","816.0","799.0","0.0","0.0","0.0","0.0","0.0","413.0","0.0","0.0","0.0","0.0","0.0"
"2018-2019","Madhya Pradesh","Chhatarpur","Buxwaha","Kairwar","588.0","585.0","55.0","251.0","605.0","911.0","395.0","492.0","47.0","187.0","505.0","739.0","287.0"
"2014-2015","Punjab","Hoshiarpur","Mukerian","Kotli Khas","78.0","78.0","35.0","0.0","45.0","80.0","20.0","29.0","12.0","0.0","8.0","20.0","5.0"
"2022-2023","Andhra Pradesh","Tirupati","Chillakur","Vellapalem","367.0","367.0","144.0","116.0","441.0","701.0","358.0","337.0","132.0","83.0","413.0","628.0","323.0"
"2014-2015","Uttar Pradesh","Azamgarh","Palhani","Gayaspur","267.0","267.0","61.0","0.0","271.0","332.0","77.0","163.0","24.0","0.0","145.0","169.0","49.0"
"2017-2018","Maharashtra","Aurangabad","Aurangabad","Bakapur","243.0","240.0","4.0","2.0","736.0","742.0","222.0","62.0","3.0","0.0","327.0","330.0","102.0"
"2020-2021","Karnataka","Chikkaballapura","Gauribidanur","Pura","1181.0","1181.0","679.0","434.0","1779.0","2892.0","1404.0","641.0","246.0","164.0","684.0","1094.0","566.0"
"2020-2021","Odisha","Bolangir","Khaprakhol","Telenpali","1628.0","1580.0","216.0","998.0","967.0","2181.0","995.0","1031.0","195.0","861.0","861.0","1917.0","884.0"
"2017-2018","Bihar","Purbi Champaran","Kalyanpur","Raghunathpur","1370.0","1126.0","528.0","23.0","2218.0","2769.0","1453.0","239.0","164.0","15.0","1082.0","1261.0","807.0"
"2014-2015","Andhra Pradesh","West Godavari","Iragavaram","Kannayakumudavalli","473.0","473.0","170.0","15.0","505.0","690.0","262.0","172.0","122.0","9.0","335.0","466.0","140.0"
"2018-2019","Madhya Pradesh","Balaghat","Birsa","Nikum","386.0","382.0","3.0","314.0","683.0","1000.0","496.0","353.0","1.0","289.0","624.0","914.0","464.0"
"2022-2023","Gujarat","Dohad","Singvad","Dhamanbari","859.0","807.0","7.0","862.0","842.0","1711.0","770.0","500.0","1.0","325.0","286.0","612.0","270.0"
"2020-2021","Rajasthan","Karauli","Masalpur","गुवरेडा","1683.0","1623.0","154.0","521.0","2018.0","2693.0","1283.0","1202.0","131.0","456.0","1373.0","1960.0","960.0"
"2019-2020","Bihar","Rohtas","Bikramganj","Ghosiya Khurd","1058.0","968.0","479.0","48.0","901.0","1428.0","377.0","276.0","229.0","18.0","506.0","753.0","186.0"
"2014-2015","Rajasthan","Pali","Raipur","दीपावास","1497.0","1492.0","489.0","2.0","2593.0","3084.0","1651.0","710.0","192.0","1.0","1308.0","1501.0","1156.0"
"2020-2021","Haryana","Jind","Narwana","Dhanauri","692.0","692.0","520.0","0.0","799.0","1319.0","687.0","500.0","168.0","0.0","318.0","486.0","326.0"
"2015-2016","Assam","Sonitpur","Sootea","No.5 Sootea","2194.0","2115.0","99.0","2.0","3690.0","3791.0","1638.0","1218.0","51.0","0.0","2176.0","2227.0","1034.0"
"2023-2024","Karnataka","Bagalkote","Hungund","Muganur","1652.0","1646.0","573.0","454.0","3739.0","4766.0","2350.0","1399.0","380.0","321.0","2592.0","3293.0","1610.0"
"2014-2015","Andhra Pradesh","Vizianagaram","Pachipenta","H.Gotturu","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2014-2015","Gujarat","Dohad","Fatepura","Balaiya","928.0","916.0","104.0","2128.0","1450.0","3682.0","1760.0","218.0","7.0","836.0","358.0","1201.0","563.0"
"2020-2021","Maharashtra","Nashik","Nashik","Rajurbahula","135.0","135.0","17.0","157.0","283.0","457.0","147.0","59.0","0.0","15.0","34.0","49.0","13.0"
"2021-2022","Punjab","Tarn Taran","Khadur-Sahib-10","Kuriwallah","102.0","102.0","106.0","0.0","56.0","162.0","73.0","22.0","31.0","0.0","10.0","41.0","27.0"
"2016-2017","Uttar Pradesh","Rae Bareli","Salon","Godva Hasanpur","220.0","220.0","209.0","0.0","489.0","698.0","230.0","150.0","166.0","0.0","350.0","516.0","179.0"
"2022-2023","Uttar Pradesh","Jhansi","Gursarai","Sonakpura","540.0","490.0","419.0","2.0","523.0","944.0","403.0","421.0","250.0","0.0","372.0","622.0","236.0"
"2022-2023","Gujarat","Ahmadabad","Mandal                                            ","Endla","348.0","347.0","42.0","0.0","548.0","590.0","224.0","60.0","3.0","0.0","130.0","133.0","48.0"
"2018-2019","Karnataka","Bagalkote","Jamkhandi","Kunchanur","774.0","774.0","371.0","131.0","1046.0","1548.0","804.0","479.0","119.0","45.0","537.0","701.0","341.0"
"2021-2022","Karnataka","Chamaraja Nagara","Kollegala","Kunthooru","1915.0","1915.0","1801.0","74.0","3725.0","5600.0","2713.0","980.0","503.0","32.0","813.0","1348.0","804.0"
"2014-2015","Bihar","Samastipur","Klayanpur","Bhagirathpur","1266.0","1247.0","221.0","0.0","500.0","721.0","315.0","394.0","113.0","0.0","301.0","414.0","191.0"
"2015-2016","Assam","Sonitpur","Dhekiajuli","Garubondha","1505.0","1505.0","138.0","421.0","2269.0","2828.0","1614.0","727.0","72.0","261.0","1227.0","1560.0","966.0"
"2017-2018","Karnataka","Haveri","Byadgi","Kalledevaru","680.0","662.0","726.0","793.0","1162.0","2681.0","1244.0","464.0","332.0","487.0","654.0","1473.0","690.0"
"2015-2016","Uttar Pradesh","Jaunpur","Mungra Badshah Pur","Devi Himmatpur","114.0","114.0","42.0","0.0","74.0","116.0","41.0","32.0","32.0","0.0","55.0","87.0","32.0"
"2022-2023","Tamil Nadu","Thoothukkudi","Kovilpatti","Erachi","942.0","940.0","148.0","0.0","988.0","1136.0","965.0","868.0","119.0","0.0","832.0","951.0","861.0"
"2021-2022","Telangana","Medchal","Shamirpet","Bomraspet","159.0","159.0","64.0","0.0","103.0","167.0","93.0","82.0","37.0","0.0","57.0","94.0","68.0"
"2023-2024","Tripura","Dhalai","Manu","West Jamircherra","582.0","582.0","4.0","1119.0","39.0","1162.0","584.0","580.0","4.0","1077.0","38.0","1119.0","561.0"
"2023-2024","Uttarakhand","Bageshwar","Garur","Falyanti","74.0","74.0","3.0","0.0","123.0","126.0","82.0","54.0","0.0","0.0","67.0","67.0","58.0"
"2021-2022","Uttar Pradesh","Saharanpur","Puwarka","Lundhali","116.0","115.0","0.0","0.0","0.0","0.0","0.0","68.0","0.0","0.0","0.0","0.0","0.0"
"2023-2024","Chhattisgarh","Korea","Baikunthpur","Golhaghat","204.0","203.0","0.0","0.0","0.0","0.0","0.0","190.0","0.0","0.0","0.0","0.0","0.0"
"2015-2016","Himachal Pradesh","Kangra","Kangra","Gahaliyan","338.0","338.0","100.0","1.0","819.0","920.0","409.0","189.0","42.0","1.0","375.0","418.0","225.0"
"2021-2022","Madhya Pradesh","Mandla","Ghughri","Chalni","423.0","420.0","0.0","624.0","278.0","902.0","426.0","407.0","0.0","573.0","249.0","822.0","386.0"
"2017-2018","Maharashtra","Buldhana","Motala","Talkhed","647.0","644.0","370.0","8.0","1628.0","2006.0","902.0","329.0","75.0","1.0","154.0","230.0","70.0"
"2018-2019","Andhra Pradesh","Vizianagaram","Vizianagaram","Badukondapeta","0.0","0.0","2.0","0.0","418.0","420.0","242.0","0.0","2.0","0.0","382.0","384.0","231.0"
"2023-2024","Chhattisgarh","Kawardha","Bodla","Baghutola","528.0","528.0","0.0","62.0","1051.0","1113.0","541.0","517.0","0.0","59.0","1019.0","1078.0","526.0"
"2018-2019","Madhya Pradesh","Seoni","Lakhnadon","Malkheda","332.0","331.0","112.0","492.0","186.0","790.0","371.0","270.0","103.0","429.0","128.0","660.0","322.0"
"2020-2021","Rajasthan","Jodhpur","Bap","राणेरी","676.0","672.0","220.0","2.0","2611.0","2833.0","1415.0","566.0","171.0","2.0","2042.0","2215.0","1106.0"
"2018-2019","Andhra Pradesh","Anantapur","Guntakal","Nalladasarapalli","288.0","288.0","73.0","0.0","488.0","561.0","290.0","205.0","56.0","0.0","406.0","462.0","242.0"
"2020-2021","Karnataka","Bidar","Basavakalyan","Yerandi","1762.0","1762.0","986.0","1918.0","1573.0","4477.0","2225.0","1525.0","828.0","1636.0","1248.0","3712.0","1892.0"
"2017-2018","Maharashtra","Hingoli","Basmath","Lingi","195.0","176.0","194.0","26.0","577.0","797.0","353.0","3.0","81.0","13.0","239.0","333.0","126.0"
"2017-2018","Uttarakhand","Pithoragarh","Didihat","Sata","54.0","54.0","16.0","0.0","87.0","103.0","50.0","53.0","11.0","0.0","60.0","71.0","30.0"
"2022-2023","Tamil Nadu","Thanjavur","Thiruvaiyaru","Avikkarai","342.0","336.0","199.0","0.0","335.0","534.0","361.0","297.0","133.0","0.0","236.0","369.0","301.0"
"2023-2024","Madhya Pradesh","Rewa","Sirmour","Pipari","124.0","124.0","31.0","24.0","86.0","141.0","55.0","123.0","31.0","23.0","79.0","133.0","50.0"
"2018-2019","Chhattisgarh","Dantewada","Geedam","Pahurnar","296.0","296.0","4.0","611.0","122.0","737.0","350.0","296.0","4.0","598.0","118.0","720.0","342.0"
"2022-2023","Maharashtra","Nashik","Peint","Hatrundi","469.0","467.0","0.0","1225.0","10.0","1235.0","570.0","217.0","0.0","429.0","3.0","432.0","203.0"
"2021-2022","Uttarakhand","Pauri Garhwal","Rikhnikhal","Jukreyan","71.0","71.0","5.0","0.0","117.0","122.0","66.0","45.0","4.0","0.0","72.0","76.0","40.0"
"2014-2015","Odisha","Kalahandi","Madanpur    Rampur","Madanpur","671.0","671.0","214.0","120.0","1198.0","1532.0","755.0","425.0","172.0","96.0","996.0","1264.0","627.0"
"2020-2021","Madhya Pradesh","Indore","Depalpur","Birgoda","336.0","317.0","123.0","21.0","622.0","766.0","356.0","277.0","43.0","9.0","266.0","318.0","128.0"
"2016-2017","Madhya Pradesh","Anuppur","Pushprajgarh","Bhejri","600.0","593.0","83.0","875.0","272.0","1230.0","593.0","506.0","76.0","742.0","229.0","1047.0","511.0"
"2018-2019","Jammu And Kashmir","Poonch","Loran","Arigam","0.0","0.0","0.0","433.0","542.0","975.0","460.0","0.0","0.0","258.0","395.0","653.0","301.0"
"2022-2023","Uttar Pradesh","Ghazipur","Mohammadabad","Murkikhurd","248.0","247.0","41.0","1.0","227.0","269.0","103.0","150.0","27.0","1.0","148.0","176.0","78.0"
"2022-2023","Meghalaya","Ri Bhoi  ","Umsning","Paitklong","123.0","123.0","0.0","0.0","0.0","0.0","0.0","111.0","0.0","0.0","0.0","0.0","0.0"
