Year (year),State Name (state_name),District Name (district_name),Block Name (block_name),Gram Panchayat Name (gp_name),Number of applied job cards (applied_jobcards),Number of issued job cards (issued_jobcards),Number of registered workers from Scheduled Castes (registered_workers_scs),Number of registered workers from Scheduled Tribes (registered_workers_sts),Number of registered workers from other categories (registered_workers_others),Total number of registered workers (total_registered_workers),Number of registered female workers (registered_workers_women),Number of active job cards (active_jobcards),Number of active workers from Scheduled Castes (active_workers_scs),Number of active workers from Scheduled Tribes (active_workers_sts),Number of active workers from other categories (active_workers_others),Total number of active workers (total_active_workers),Number of active female workers (active_workers_women)
"2023-2024","Tamil Nadu","Villupuram","Mailam","Pampoondi","355.0","355.0","152.0","0.0","360.0","512.0","357.0","313.0","98.0","0.0","240.0","338.0","285.0"
"2017-2018","Maharashtra","Chandrapur","Chimur","Shivapur","296.0","283.0","191.0","473.0","215.0","879.0","408.0","209.0","99.0","247.0","95.0","441.0","234.0"
"2019-2020","Maharashtra","Sindhudurg","Devgad","Palekarwadi","148.0","134.0","0.0","0.0","413.0","413.0","171.0","49.0","0.0","0.0","107.0","107.0","30.0"
"2014-2015","Manipur","Churachandpur","Samulamlan","Patjang","30.0","30.0","0.0","29.0","1.0","30.0","12.0","30.0","0.0","29.0","1.0","30.0","12.0"
"2015-2016","Madhya Pradesh","Shahdol","Jaisinghnagar","Ghorsa","462.0","462.0","414.0","164.0","428.0","1006.0","478.0","297.0","349.0","141.0","317.0","807.0","400.0"
"2016-2017","Uttar Pradesh","Mau","Fatehpur Madaun","Belagdayan Patti","356.0","332.0","132.0","2.0","533.0","667.0","260.0","172.0","60.0","0.0","322.0","382.0","175.0"
"2022-2023","Odisha","Ganjam","Kabisuryanagar","Baunsia","1077.0","1077.0","124.0","19.0","1592.0","1735.0","964.0","1066.0","107.0","19.0","1449.0","1575.0","869.0"
"2018-2019","Haryana","Rewari","Rewari","Dabri","105.0","105.0","223.0","0.0","69.0","292.0","123.0","0.0","104.0","0.0","54.0","158.0","79.0"
"2017-2018","Uttar Pradesh","Deoria","Gauri Bazar","Gopal Pur","295.0","230.0","22.0","54.0","279.0","355.0","112.0","86.0","8.0","14.0","123.0","145.0","49.0"
"2018-2019","Uttar Pradesh","Pratapgarh","Pratapgarh (Sadar)","Pureraiju","218.0","195.0","89.0","0.0","245.0","334.0","142.0","96.0","54.0","0.0","171.0","225.0","103.0"
"2020-2021","Uttar Pradesh","Ambedkar Nagar","Ram Nagar","Dhanukara","299.0","274.0","86.0","0.0","197.0","283.0","101.0","237.0","81.0","0.0","161.0","242.0","89.0"
"2015-2016","Telangana","Mahbubnagar","Amrabad","Padra","2165.0","2165.0","1288.0","922.0","2667.0","4877.0","2411.0","438.0","94.0","173.0","711.0","978.0","524.0"
"2017-2018","Tamil Nadu","Dindigul","Natham","Kottaiyur","1193.0","1186.0","126.0","0.0","1718.0","1844.0","1280.0","959.0","56.0","0.0","1015.0","1071.0","891.0"
"2022-2023","Uttar Pradesh","Ambedkar Nagar","Tanda","Ismailpur Beldaha","221.0","221.0","205.0","0.0","98.0","303.0","119.0","163.0","169.0","0.0","76.0","245.0","97.0"
"2019-2020","Maharashtra","Parbhani","Pathri","Takalgavan","329.0","314.0","27.0","0.0","1122.0","1149.0","509.0","66.0","1.0","0.0","282.0","283.0","98.0"
"2020-2021","Himachal Pradesh","Shimla","Rohru","Jagothi","210.0","209.0","165.0","0.0","711.0","876.0","388.0","262.0","107.0","0.0","410.0","517.0","244.0"
"2019-2020","Chhattisgarh","Baloda Bazar","Bhatapara","Rajadhar","260.0","257.0","425.0","214.0","586.0","1225.0","602.0","195.0","372.0","185.0","496.0","1053.0","527.0"
"2016-2017","Rajasthan","Jaipur","Pawta","मण्ढ+ा","535.0","535.0","308.0","69.0","913.0","1290.0","639.0","161.0","164.0","23.0","303.0","490.0","341.0"
"2020-2021","Uttar Pradesh","Hamirpur","Sumerpur","Chani Bujurg","554.0","530.0","137.0","0.0","747.0","884.0","382.0","251.0","52.0","0.0","408.0","460.0","210.0"
"2019-2020","Madhya Pradesh","Dewas","Bagli","Bijjukheda","259.0","259.0","93.0","66.0","469.0","628.0","271.0","209.0","70.0","56.0","388.0","514.0","226.0"
"2023-2024","Gujarat","Amreli","Lathi                                             ","Malaviya Pipariya","205.0","184.0","69.0","5.0","461.0","535.0","238.0","94.0","27.0","3.0","128.0","158.0","67.0"
"2022-2023","Tripura","Unakoti","Kumarghat","Demdum","354.0","339.0","0.0","660.0","24.0","684.0","340.0","334.0","0.0","597.0","24.0","621.0","302.0"
"2015-2016","Uttar Pradesh","Kushi Nagar","Padrauna","Jangal Amava Gayghat","367.0","363.0","68.0","0.0","580.0","648.0","233.0","112.0","26.0","0.0","236.0","262.0","96.0"
"2016-2017","Uttar Pradesh","Ambedkar Nagar","Baskhari","Sonhan","147.0","145.0","0.0","0.0","0.0","0.0","0.0","112.0","0.0","0.0","0.0","0.0","0.0"
"2014-2015","Madhya Pradesh","Damoh","Jabera","Karanpura","276.0","274.0","86.0","408.0","243.0","737.0","327.0","181.0","64.0","299.0","157.0","520.0","214.0"
"2015-2016","Maharashtra","Aurangabad","Sillod","Khatkheda","246.0","246.0","59.0","0.0","446.0","505.0","208.0","0.0","9.0","0.0","98.0","107.0","46.0"
"2015-2016","Madhya Pradesh","Jabalpur","Shahpura","Kohla","408.0","408.0","394.0","171.0","200.0","765.0","328.0","198.0","307.0","140.0","154.0","601.0","257.0"
"2020-2021","Andhra Pradesh","Vizianagaram","Gurla","Atchutapuram","258.0","258.0","4.0","0.0","296.0","300.0","159.0","143.0","4.0","0.0","200.0","204.0","111.0"
"2018-2019","Uttar Pradesh","Gorakhpur","Pipraich","Matihaniya Somali","303.0","292.0","110.0","0.0","340.0","450.0","128.0","98.0","68.0","0.0","222.0","290.0","87.0"
"2021-2022","Madhya Pradesh","Datia","Bhander","Madhopura","139.0","131.0","57.0","0.0","274.0","331.0","138.0","97.0","17.0","0.0","131.0","148.0","61.0"
"2023-2024","Uttarakhand","Tehri Garhwal","Bhilangna","Chothara","120.0","120.0","28.0","2.0","127.0","157.0","104.0","102.0","24.0","1.0","99.0","124.0","86.0"
"2016-2017","Madhya Pradesh","Dindori","Mehandwani","Payali","515.0","492.0","29.0","1179.0","203.0","1411.0","715.0","403.0","29.0","1128.0","194.0","1351.0","675.0"
